kr_name,month, monthly_target 
KR-2.2.1,"January, 2026","40,695,652.00"
KR-2.2.1,"February, 2026","18,782,609.00"
KR-2.2.1,"March, 2026","61,565,217.00"
KR-2.2.1,"April, 2026","18,782,609.00"
KR-2.2.1,"May, 2026","18,782,609.00"
KR-2.2.1,"June, 2026","61,565,217.00"
KR-2.2.1,"July, 2026","18,782,609.00"
KR-2.2.1,"August, 2026","18,782,609.00"
KR-2.2.1,"September, 2026","39,652,174.00"
KR-2.2.1,"October, 2026","39,652,174.00"
KR-2.2.1,"November, 2026","18,782,609.00"
KR-2.2.1,"December, 2026","124,173,913.00"
KR-2.2.2,"January, 2026",25
KR-2.2.2,"February, 2026",25
KR-2.2.2,"March, 2026",25
KR-2.2.2,"April, 2026",25
KR-2.2.2,"May, 2026",25
KR-2.2.2,"June, 2026",25
KR-2.2.2,"July, 2026",25
KR-2.2.2,"August, 2026",25
KR-2.2.2,"September, 2026",25
KR-2.2.2,"October, 2026",25
KR-2.2.2,"November, 2026",25
KR-2.2.2,"December, 2026",25
KR-2.2.3,"January, 2026","9,326,087.00"
KR-2.2.3,"February, 2026","4,304,348.00"
KR-2.2.3,"March, 2026","14,108,696.00"
KR-2.2.3,"April, 2026","4,304,348.00"
KR-2.2.3,"May, 2026","4,304,348.00"
KR-2.2.3,"June, 2026","14,108,696.00"
KR-2.2.3,"July, 2026","4,304,348.00"
KR-2.2.3,"August, 2026","4,304,348.00"
KR-2.2.3,"September, 2026","9,086,957.00"
KR-2.2.3,"October, 2026","9,086,957.00"
KR-2.2.3,"November, 2026","4,304,348.00"
KR-2.2.3,"December, 2026","28,456,522.00"
KR-2.3,"January, 2026","8,000,000"
KR-2.3,"February, 2026","3,000,000"
KR-2.3,"March, 2026","5,000,000"
KR-2.3,"April, 2026","2,000,000"
KR-2.3,"May, 2026","3,000,000"
KR-2.3,"June, 2026","3,000,000"
KR-2.3,"July, 2026","3,000,000"
KR-2.3,"August, 2026","3,000,000"
KR-2.3,"September, 2026","6,000,000"
KR-2.3,"October, 2026","3,000,000"
KR-2.3,"November, 2026","6,000,000"
KR-2.3,"December, 2026","10,000,000"
KR-2.3.1,"January, 2026","80,000,000.00"
KR-2.3.1,"February, 2026","30,000,000.00"
KR-2.3.1,"March, 2026","50,000,000.00"
KR-2.3.1,"April, 2026","29,000,000.00"
KR-2.3.1,"May, 2026","30,000,000.00"
KR-2.3.1,"June, 2026","30,000,000.00"
KR-2.3.1,"July, 2026","30,000,000.00"
KR-2.3.1,"August, 2026","30,000,000.00"
KR-2.3.1,"September, 2026","60,000,000.00"
KR-2.3.1,"October, 2026","39,000,000.00"
KR-2.3.1,"November, 2026","60,000,000.00"
KR-2.3.1,"December, 2026","100,000,000.00"
KR-2.3.2,"January, 2026",10
KR-2.3.2,"February, 2026",10
KR-2.3.2,"March, 2026",10
KR-2.3.2,"April, 2026",10
KR-2.3.2,"May, 2026",10
KR-2.3.2,"June, 2026",10
KR-2.3.2,"July, 2026",10
KR-2.3.2,"August, 2026",10
KR-2.3.2,"September, 2026",10
KR-2.3.2,"October, 2026",10
KR-2.3.2,"November, 2026",10
KR-2.3.2,"December, 2026",10
KR-2.4,"January, 2026","5,850,000.00"
KR-2.4,"February, 2026","2,250,000.00"
KR-2.4,"March, 2026","5,400,000.00"
KR-2.4,"April, 2026","5,400,000.00"
KR-2.4,"May, 2026","2,250,000.00"
KR-2.4,"June, 2026","2,700,000.00"
KR-2.4,"July, 2026","3,150,000.00"
KR-2.4,"August, 2026","900,000.00"
KR-2.4,"September, 2026","1,350,000.00"
KR-2.4,"October, 2026","5,400,000.00"
KR-2.4,"November, 2026","4,500,000.00"
KR-2.4,"December, 2026","5,850,000.00"
KR-2.4.1,"January, 2026","58,500,000.00"
KR-2.4.1,"February, 2026","22,500,000.00"
KR-2.4.1,"March, 2026","54,000,000.00"
KR-2.4.1,"April, 2026","54,000,000.00"
KR-2.4.1,"May, 2026","22,500,000.00"
KR-2.4.1,"June, 2026","27,000,000.00"
KR-2.4.1,"July, 2026","31,500,000.00"
KR-2.4.1,"August, 2026","9,000,000.00"
KR-2.4.1,"September, 2026","13,500,000.00"
KR-2.4.1,"October, 2026","54,000,000.00"
KR-2.4.1,"November, 2026","45,000,000.00"
KR-2.4.1,"December, 2026","58,500,000.00"
KR-2.4.2,"January, 2026",10
KR-2.4.2,"February, 2026",10
KR-2.4.2,"March, 2026",10
KR-2.4.2,"April, 2026",10
KR-2.4.2,"May, 2026",10
KR-2.4.2,"June, 2026",10
KR-2.4.2,"July, 2026",10
KR-2.4.2,"August, 2026",10
KR-2.4.2,"September, 2026",10
KR-2.4.2,"October, 2026",10
KR-2.4.2,"November, 2026",10
KR-2.4.2,"December, 2026",10
KR-3.1,"January, 2026",0
KR-3.1,"February, 2026",0
KR-3.1,"March, 2026",0
KR-3.1,"April, 2026",0
KR-3.1,"May, 2026",0
KR-3.1,"June, 2026",0
KR-3.1,"July, 2026",0
KR-3.1,"August, 2026",0
KR-3.1,"September, 2026",0
KR-3.1,"October, 2026",0
KR-3.1,"November, 2026",0
KR-3.1,"December, 2026",25.7
KR-3.2,"January, 2026",45
KR-3.2,"February, 2026",45
KR-3.2,"March, 2026",45
KR-3.2,"April, 2026",45
KR-3.2,"May, 2026",45
KR-3.2,"June, 2026",45
KR-3.2,"July, 2026",45
KR-3.2,"August, 2026",45
KR-3.2,"September, 2026",45
KR-3.2,"October, 2026",45
KR-3.2,"November, 2026",45
KR-3.2,"December, 2026",45
KR-4.1,"January, 2026","1,655,039.00"
KR-4.1,"February, 2026","1,522,464.00"
KR-4.1,"March, 2026","1,685,164.00"
KR-4.1,"April, 2026","1,605,631.00"
KR-4.1,"May, 2026","1,691,602.00"
KR-4.1,"June, 2026","1,678,171.00"
KR-4.1,"July, 2026","1,469,587.00"
KR-4.1,"August, 2026","1,592,092.00"
KR-4.1,"September, 2026","1,731,443.00"
KR-4.1,"October, 2026","1,835,464.00"
KR-4.1,"November, 2026","1,957,836.00"
KR-4.1,"December, 2026","2,130,926.00"
KR-4.1.1,"January, 2026",57
KR-4.1.1,"February, 2026",57
KR-4.1.1,"March, 2026",57
KR-4.1.1,"April, 2026",57
KR-4.1.1,"May, 2026",57
KR-4.1.1,"June, 2026",57
KR-4.1.1,"July, 2026",57
KR-4.1.1,"August, 2026",57
KR-4.1.1,"September, 2026",57
KR-4.1.1,"October, 2026",57
